Date,Flight,A/C Type,Route,ETD
2022-01-31,VN19,A350,HAN-CDG,2022-01-31 00:00:00
2022-01-31,VN416,B787,HAN-ICN,2022-01-31 00:00:00
2022-01-31,VN7253,A350,HAN-SGN,2022-01-31 00:01:00
2022-01-31,VN416,B787,HAN-ICN,2022-01-31 00:03:00
2022-01-31,VN19,A350,HAN-CDG,2022-01-31 00:03:00
2022-01-31,VN221,B787,HAN-SGN,2022-01-31 00:15:00
2022-01-31,VN37,B787,HAN-FRA,2022-01-31 00:18:00
2022-01-31,VN7253,B787,HAN-SGN,2022-01-31 00:19:00
2022-01-31,VN787,A350,HAN-SYD,2022-01-31 00:21:00
2022-01-31,VN7253,B787,HAN-SGN,2022-01-31 00:29:00
2022-01-31,VN310,A321,HAN-NRT,2022-01-31 00:30:00
2022-01-31,VN310,B787,HAN-NRT,2022-01-31 00:31:00
2022-01-31,VN19,A350,HAN-CDG,2022-01-31 00:32:00
2022-01-31,VN330,A350,HAN-KIX,2022-01-31 00:36:00
2022-01-31,VN310,B787,HAN-NRT,2022-01-31 00:38:00
2022-01-31,VN7255,A350,HAN-SGN,2022-01-31 00:39:00
2022-01-31,VN330,A350,HAN-KIX,2022-01-31 00:40:00
2022-01-31,VN330,A321,HAN-KIX,2022-01-31 00:40:00
2022-01-31,VN426,A350,HAN-PUS,2022-01-31 00:41:00
2022-01-31,VN310,A321,HAN-NRT,2022-01-31 00:41:00
2022-01-31,VN426,A350,HAN-PUS,2022-01-31 00:43:00
2022-01-31,VN310,B787,HAN-NRT,2022-01-31 00:44:00
2022-01-31,VN7255,B787,HAN-SGN,2022-01-31 00:47:00
2022-01-31,VN426,A350,HAN-PUS,2022-01-31 00:47:00
2022-01-31,VN426,A350,HAN-PUS,2022-01-31 00:49:00
2022-01-31,VN7213,A321,HAN-SGN,2022-01-31 00:52:00
2022-01-31,VN426,A350,HAN-PUS,2022-01-31 00:54:00
2022-01-31,VN426,A350,HAN-PUS,2022-01-31 00:54:00
2022-01-31,VN7213,A321,HAN-SGN,2022-01-31 00:56:00
2022-01-31,VN7213,A321,HAN-SGN,2022-01-31 00:59:00
2022-01-31,VN7253,B787,HAN-SGN,2022-01-31 00:59:00
2022-01-31,VN346,B787,HAN-NGO,2022-01-31 01:00:00
2022-01-31,VN346,B787,HAN-NGO,2022-01-31 01:02:00
2022-01-31,VN7259,A321,HAN-SGN,2022-01-31 01:03:00
2022-01-31,VN7213,A321,HAN-SGN,2022-01-31 01:04:00
2022-01-31,VN7213,A321,HAN-SGN,2022-01-31 01:04:00
2022-01-31,VN7253,B787,HAN-SGN,2022-01-31 01:04:00
2022-01-31,VN7213,A321,HAN-SGN,2022-01-31 01:09:00
2022-01-31,VN7259,B787,HAN-SGN,2022-01-31 01:09:00
2022-01-31,VN310,B787,HAN-NRT,2022-01-31 01:16:00
2022-01-31,VN55,B787,HAN-LHR,2022-01-31 01:16:00
2022-01-31,VN330,A350,SGN-HAN-KIX,2022-01-31 01:19:00
2022-01-31,VN55,B787,HAN-LHR,2022-01-31 01:22:00
2022-01-31,VN330,A350,HAN-KIX,2022-01-31 01:23:00
2022-01-31,VN7255,B787,SGN-HAN-SGN,2022-01-31 01:23:00
2022-01-31,VN310,B787,HAN-NRT,2022-01-31 01:24:00
2022-01-31,VN330,A350,HAN-KIX,2022-01-31 01:27:00
2022-01-31,VN346,B787,HAN-NGO,2022-01-31 01:27:00
2022-01-31,VN7255,A350,SGN-HAN-SGN,2022-01-31 01:27:00
2022-01-31,VN55,B787,HAN-LHR,2022-01-31 01:30:00
2022-01-31,VN346,B787,SGN-HAN-NGO,2022-01-31 01:32:00
2022-01-31,VN426,A350,HAN-PUS,2022-01-31 01:33:00
2022-01-31,VN346,B787,HAN-NGO,2022-01-31 01:34:00
2022-01-31,VN55,B787,HAN-LHR,2022-01-31 01:35:00
2022-01-31,VN7259,A350,SGN-HAN-SGN,2022-01-31 01:40:00
2022-01-31,VN7255,B787,SGN-HAN-SGN,2022-01-31 01:44:00
2022-01-31,VN7253,B787,SGN-HAN-SGN,2022-01-31 01:47:00
2022-01-31,VN356,A321,HAN-FUK,2022-01-31 01:49:00
2022-01-31,VN7259,B787,SGN-HAN-SGN,2022-01-31 01:55:00
